,,,,, DL SUBSIDIZED ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,
02525900, ARTISTIC ACADEMY OF HAIR DESIGN                                        , NJ ,079501409,Proprietary, 34 , 34 ," $107,894.00 ", 36 ," $58,613.00 ", 42 , 42 ," $153,300.00 ", 47 ," $88,932.00 ", -   , -   , $-   , -   , $-   , 11 , 11 ," $99,785.00 ", 11 ," $52,228.00 ", -   , -   , $-   , -   , $-   
02527600, LEXINGTON COLLEGE                                                      , IL ,606073294,Private-Nonprofit, 32 , 32 ," $134,875.00 ", 63 ," $68,378.00 ", 30 , 30 ," $107,500.00 ", 60 ," $54,500.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $22,000.00 ", 4 ," $11,583.00 ", -   , -   , $-   , -   , $-   
02528200, ROBERT FIANCE BEAUTY SCHOOLS                                           , NJ ,070604840,Proprietary, 66 , 66 ," $195,190.00 ", 72 ," $105,214.00 ", 62 , 62 ," $284,835.00 ", 73 ," $158,658.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $10,800.00 ", 2 ," $5,400.00 ", -   , -   , $-   , -   , $-   
02528300, TDDS TECHNICAL INSTITUTE                                               , OH ,444299626,Proprietary, 143 , 143 ," $324,037.00 ", 238 ," $258,278.00 ", 148 , 148 ," $518,992.00 ", 247 ," $416,904.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $16,000.00 ", 6 ," $10,750.00 ", -   , -   , $-   , -   , $-   
02529500, HAMRICK SCHOOL                                                         , OH ,442560000,Proprietary, 59 , 59 ," $123,120.00 ", 94 ," $98,425.00 ", 60 , 60 ," $216,078.00 ", 96 ," $171,728.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02529800, WILKES BARRE AREA CAREER AND TECHNICAL CENTER PRACTICAL NURSING PRGM   , PA ,187050699,Public, 74 , 74 ," $186,868.00 ", 74 ," $120,730.00 ", 78 , 78 ," $271,108.00 ", 79 ," $169,211.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $14,472.00 ", 3 ," $9,736.00 ", -   , -   , $-   , -   , $-   
02530600, SAINT CHARLES COMMUNITY COLLEGE                                        , MO ,633760975,Public, 514 , 515 ," $1,692,028.00 ", 515 ," $981,512.00 ", 547 , 547 ," $1,970,656.00 ", 547 ," $1,058,107.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02530700, SEBRING CAREER SCHOOLS                                                 , TX ,770831510,Proprietary, 8 , 8 ," $27,495.00 ", 13 ," $18,748.00 ", 5 , 5 ," $10,450.00 ", 7 ," $7,143.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $13,100.00 ", 3 ," $9,950.00 ", -   , -   , $-   , -   , $-   
02531200, WOODWARD BEAUTY COLLEGE                                                , OK ,738013336,Proprietary, 14 , 14 ," $42,911.00 ", 15 ," $25,411.00 ", 12 , 12 ," $49,612.00 ", 13 ," $29,306.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02531800, PAUL MITCHELL THE SCHOOL                                               , UT ,846063424,Proprietary, 619 , 619 ," $1,910,895.00 ", 818 ," $1,256,701.00 ", 605 , 605 ," $2,431,710.00 ", 821 ," $1,576,291.00 ", -   , -   , $-   , -   , $-   , 28 , 28 ," $205,941.00 ", 40 ," $145,353.00 ", -   , -   , $-   , -   , $-   
02532600, LANDMARK COLLEGE                                                       , VT ,053460000,Private-Nonprofit, 170 , 170 ," $620,250.00 ", 183 ," $335,677.00 ", 159 , 160 ," $460,500.00 ", 174 ," $253,402.00 ", -   , -   , $-   , -   , $-   , 92 , 92 ," $2,826,056.00 ", 108 ," $1,555,139.00 ", -   , -   , $-   , -   , $-   
02533200, FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTURE                              , AZ ,852614430,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 5 , 5 ," $98,307.00 ", 5 ," $98,307.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $14,200.00 ", 1 ," $14,200.00 "
02533600, ROSS MEDICAL EDUCATION CENTER                                          , MI ,489172108,Proprietary, 320 , 320 ," $1,093,864.00 ", 397 ," $670,524.00 ", 315 , 315 ," $1,675,559.00 ", 399 ," $1,052,523.00 ", -   , -   , $-   , -   , $-   , 6 , 6 ," $57,900.00 ", 8 ," $41,454.00 ", -   , -   , $-   , -   , $-   
02534000, NATIONAL COLLEGE OF NATURAL MEDICINE                                   , OR ,972014878,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 451 , 468 ," $16,364,609.00 ", 648 ," $6,676,779.00 ", -   , -   , $-   , -   , $-   , 274 , 285 ," $4,867,001.00 ", 365 ," $2,126,887.00 "
02534900, PONCE PARAMEDICAL COLLEGE (POPAC)                                      , PR ,007162901,Proprietary, 170 , 173 ," $181,313.00 ", 177 ," $178,111.00 ", 9 , 9 ," $41,547.00 ", 9 ," $37,512.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02536400, LOUISIANA ACADEMY OF BEAUTY                                            , LA ,705353512,Proprietary, 17 , 17 ," $53,917.00 ", 18 ," $29,834.00 ", 6 , 6 ," $22,500.00 ", 9 ," $15,500.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $4,200.00 ", 1 ," $2,100.00 ", -   , -   , $-   , -   , $-   
02537200, PALOMAR INSTITUTE OF COSMETOLOGY                                       , CA ,920782644,Proprietary, 58 , 59 ," $167,801.00 ", 84 ," $118,156.00 ", 55 , 61 ," $185,919.00 ", 87 ," $127,298.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $20,745.00 ", 6 ," $14,746.00 ", -   , -   , $-   , -   , $-   
02538300, DELTA COLLEGE OF ARTS & TECHNOLOGY                                     , LA ,708061529,Proprietary, 373 , 374 ," $1,302,879.00 ", 516 ," $900,345.00 ", 330 , 330 ," $593,249.00 ", 460 ," $384,241.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $23,194.00 ", 4 ," $14,489.00 ", -   , -   , $-   , -   , $-   
02538500, ARTHUR'S BEAUTY COLLEGE                                                , AR ,720761819,Proprietary, 76 , 76 ," $239,055.00 ", 110 ," $172,293.00 ", 79 , 79 ," $277,138.00 ", 114 ," $200,179.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $11,100.00 ", 5 ," $10,150.00 ", -   , -   , $-   , -   , $-   
02538800, SUFFOLK BEAUTY ACADEMY                                                 , VA ,234343000,Proprietary, 25 , 25 ," $70,275.00 ", 32 ," $46,324.00 ", 17 , 17 ," $92,320.00 ", 22 ," $60,320.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02539100, KAPLAN COLLEGE                                                         , CA ,916063231,Proprietary, 434 , 442 ," $1,428,740.00 ", 567 ," $832,846.00 ", 388 , 401 ," $1,674,023.00 ", 498 ," $947,870.00 ", -   , -   , $-   , -   , $-   , 44 , 45 ," $262,134.00 ", 58 ," $159,536.00 ", -   , -   , $-   , -   , $-   
02539500, IRVINE VALLEY COLLEGE                                                  , CA ,926184399,Public, 100 , 101 ," $363,116.00 ", 111 ," $194,732.00 ", 85 , 85 ," $364,191.00 ", 94 ," $194,831.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02539800, QUEEN CITY COLLEGE                                                     , TN ,370423545,Proprietary, 34 , 34 ," $94,043.00 ", 39 ," $60,498.00 ", 35 , 35 ," $161,204.00 ", 40 ," $100,996.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $5,647.00 ", 3 ," $5,647.00 ", -   , -   , $-   , -   , $-   
02540000, TENNESSEE ACADEMY OF COSMETOLOGY                                       , TN ,381338940,Proprietary, 51 , 51 ," $145,018.00 ", 63 ," $90,589.00 ", 54 , 58 ," $235,515.00 ", 73 ," $145,132.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $6,000.00 ", 2 ," $6,000.00 ", -   , -   , $-   , -   , $-   
02541000, ALASKA CAREER COLLEGE                                                  , AK ,995071033,Proprietary, 189 , 189 ," $620,564.00 ", 205 ," $330,290.00 ", 187 , 187 ," $959,232.00 ", 203 ," $511,592.00 ", -   , -   , $-   , -   , $-   , 12 , 12 ," $91,036.00 ", 12 ," $42,621.00 ", -   , -   , $-   , -   , $-   
02541200, STRATFORD UNIVERSITY                                                   , VA ,220432403,Proprietary," 1,200 "," 1,213 "," $4,557,534.00 "," 1,738 "," $2,237,768.00 "," 1,240 "," 1,248 "," $7,224,891.00 "," 1,783 "," $3,527,442.00 ", 75 , 77 ," $1,074,749.00 ", 105 ," $500,102.00 ", 32 , 32 ," $185,113.00 ", 46 ," $94,390.00 ", 2 , 2 ," $21,009.00 ", 4 ," $17,732.00 "
02541900, BJ'S BEAUTY & BARBER COLLEGE                                           , WA ,984094318,Proprietary, 30 , 30 ," $100,692.00 ", 28 ," $44,813.00 ", 15 , 15 ," $53,474.00 ", 18 ," $31,355.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02542300, NATIONAL HOLISTIC INSTITUTE                                            , CA ,946082020,Proprietary, 262 , 262 ," $866,343.00 ", 320 ," $512,200.00 ", 264 , 264 ," $1,417,861.00 ", 322 ," $835,006.00 ", -   , -   , $-   , -   , $-   , 7 , 7 ," $52,698.00 ", 10 ," $34,470.00 ", -   , -   , $-   , -   , $-   
02543400, BROWNSON TECHNICAL SCHOOL                                              , CA ,928056329,Proprietary, 41 , 41 ," $141,476.00 ", 41 ," $70,077.00 ", 37 , 37 ," $192,178.00 ", 36 ," $91,491.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $39,652.00 ", 5 ," $24,784.00 ", -   , -   , $-   , -   , $-   
02543800, PARIS II EDUCATIONAL CENTER                                            , MO ,641182537,Proprietary, 45 , 45 ," $134,152.00 ", 57 ," $88,276.00 ", 38 , 43 ," $123,705.00 ", 57 ," $88,421.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02544300, BUTLER BEAUTY ACADEMY                                                  , PA ,160015925,Proprietary, 37 , 37 ," $110,382.00 ", 49 ," $68,237.00 ", 33 , 33 ," $135,866.00 ", 42 ," $86,572.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02545000, LAWRENCE COUNTY CAREER AND TECHNICAL CENTER                            , PA ,161015099,Public, 14 , 14 ," $40,500.00 ", 28 ," $40,500.00 ", 14 , 14 ," $53,664.00 ", 28 ," $53,664.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02545400, NORTH AMERICAN TRADE SCHOOLS                                           , MD ,212440069,Proprietary, 372 , 375 ," $912,873.00 ", 592 ," $649,564.00 ", 371 , 379 ," $1,203,261.00 ", 576 ," $815,138.00 ", -   , -   , $-   , -   , $-   , 12 , 12 ," $48,175.00 ", 19 ," $34,722.00 ", -   , -   , $-   , -   , $-   
02545700, GLASGOW SCHOOL OF ART                                                  ,,G3 6RQ        ,Foreign-Public, 3 , 3 ," $14,500.00 ", 5 ," $7,833.00 ", 3 , 3 ," $16,000.00 ", 5 ," $8,333.00 ", 7 , 7 ," $140,323.00 ", 7 ," $59,911.00 ", -   , -   , $-   , -   , $-   , 5 , 5 ," $92,994.00 ", 5 ," $36,898.00 "
02545900, HYPNOSIS MOTIVATION INSTITUTE                                          , CA ,913564154,Private-Nonprofit, 37 , 37 ," $128,849.00 ", 37 ," $64,425.00 ", 39 , 39 ," $239,151.00 ", 39 ," $119,576.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02546000, TRI-STATE COLLEGE OF ACUPUNCTURE                                       , NY ,100115126,Proprietary, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 75 , 75 ," $1,451,649.00 ", 75 ," $728,899.00 ", -   , -   , $-   , -   , $-   , 21 , 21 ," $385,000.00 ", 21 ," $192,500.00 "
02546200, LAUREL BUSINESS INSTITUTE                                              , PA ,154010877,Proprietary, 162 , 163 ," $341,434.00 ", 308 ," $286,600.00 ", 140 , 140 ," $342,697.00 ", 270 ," $266,369.00 ", -   , -   , $-   , -   , $-   , 13 , 13 ," $47,844.00 ", 20 ," $38,077.00 ", -   , -   , $-   , -   , $-   
02546400, MTI BUSINESS COLLEGE                                                   , CA ,952074349,Proprietary, 72 , 72 ," $252,000.00 ", 75 ," $131,250.00 ", 71 , 71 ," $403,277.00 ", 73 ," $205,039.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02547600, FLORIDA NATIONAL UNIVERSITY                                            , FL ,330124108,Proprietary, 588 , 590 ," $2,162,940.00 ", 534 ," $917,264.00 ", 549 , 553 ," $2,066,085.00 ", 504 ," $895,789.00 ", 3 , 3 ," $51,852.00 ", 3 ," $25,926.00 ", 26 , 26 ," $56,617.00 ", 29 ," $29,055.00 ", -   , -   , $-   , -   , $-   
02548500, COSMETOLOGY TRAINING CENTER                                            , LA ,705033238,Proprietary, 26 , 26 ," $84,357.00 ", 33 ," $52,864.00 ", 20 , 20 ," $51,482.00 ", 26 ," $32,476.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02548800, SOUTH TEXAS VOCATIONAL TECHNICAL INSTITUTE                             , TX ,785965036,Proprietary, 378 , 392 ," $1,060,688.00 ", 714 ," $710,360.00 ", 370 , 382 ," $1,451,202.00 ", 700 ," $981,101.00 ", -   , -   , $-   , -   , $-   , 32 , 33 ," $118,895.00 ", 61 ," $79,902.00 ", -   , -   , $-   , -   , $-   
02549000, KAPLAN COLLEGE                                                         , CA ,920837736,Proprietary, 495 , 521 ," $1,596,103.00 ", 743 ," $950,143.00 ", 457 , 499 ," $1,985,819.00 ", 719 ," $1,192,169.00 ", -   , -   , $-   , -   , $-   , 27 , 28 ," $205,668.00 ", 36 ," $115,090.00 ", -   , -   , $-   , -   , $-   
02549400, SOUTH TEXAS VOCATIONAL TECHNICAL INSTITUTE                             , TX ,785012400,Proprietary, 453 , 461 ," $1,249,131.00 ", 792 ," $804,662.00 ", 448 , 455 ," $1,910,609.00 ", 779 ," $1,219,343.00 ", -   , -   , $-   , -   , $-   , 21 , 22 ," $98,951.00 ", 38 ," $59,105.00 ", -   , -   , $-   , -   , $-   
02550000, CLARION COUNTY CAREER CENTER PRACTICAL NURSING                         , PA ,162544637,Public, 9 , 9 ," $31,500.00 ", 9 ," $15,750.00 ", 11 , 11 ," $61,000.00 ", 11 ," $30,500.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $6,000.00 ", 1 ," $3,000.00 ", -   , -   , $-   , -   , $-   
02551100, PJ'S COLLEGE OF COSMETOLOGY                                            , KY ,421412434,Proprietary, 28 , 28 ," $82,047.00 ", 35 ," $54,968.00 ", 25 , 25 ," $105,854.00 ", 33 ," $67,681.00 ", -   , -   , $-   , -   , $-   , 5 , 5 ," $45,472.00 ", 9 ," $45,472.00 ", -   , -   , $-   , -   , $-   
02552400, ACADEMY OF HAIR TECHNOLOGY                                             , SC ,296152363,Proprietary, 26 , 26 ," $80,542.00 ", 28 ," $45,375.00 ", 19 , 19 ," $50,539.00 ", 21 ," $27,688.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02553000, SCHOOL OF ADVERTISING ART                                              , OH ,454401612,Proprietary, 114 , 114 ," $444,250.00 ", 114 ," $219,920.00 ", 102 , 103 ," $319,000.00 ", 103 ," $158,000.00 ", -   , -   , $-   , -   , $-   , 75 , 80 ," $1,621,899.00 ", 80 ," $806,527.00 ", -   , -   , $-   , -   , $-   
02553500, ASSOCIATED TECHNICAL COLLEGE                                           , CA ,921013245,Proprietary, 71 , 71 ," $248,500.00 ", 102 ," $178,500.00 ", 59 , 59 ," $337,050.00 ", 87 ," $248,900.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $12,000.00 ", 2 ," $6,000.00 ", -   , -   , $-   , -   , $-   
02553600, DIVERSIFIED LANGUAGE INSTITUTE                                         , CA ,900171604,Proprietary, 29 , 29 ," $101,500.00 ", 32 ," $56,000.00 ", 28 , 28 ," $117,954.00 ", 31 ," $63,477.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02554300, AMERICAN BEAUTY INSTITUTE                                              , OK ,745014605,Proprietary, 3 , 3 ," $7,358.00 ", 5 ," $5,608.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02554500, HAZLETON AREA CAREER CENTER                                            , PA ,182021597,Public, 20 , 20 ," $34,660.00 ", 20 ," $34,660.00 ", 22 , 22 ," $61,380.00 ", 22 ," $61,380.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02554800, VANGUARD COLLEGE OF COSMETOLOGY A PAUL MITCHELL PARTNER SCHOOL         , LA ,704588823,Proprietary, 173 , 173 ," $531,039.00 ", 234 ," $367,505.00 ", 175 , 175 ," $815,129.00 ", 236 ," $545,636.00 ", -   , -   , $-   , -   , $-   , 15 , 15 ," $90,184.00 ", 20 ," $60,882.00 ", -   , -   , $-   , -   , $-   
02555400, UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER                        , TX ,770300240,Public, 140 , 140 ," $684,287.00 ", 249 ," $451,875.00 ", 111 , 117 ," $733,259.00 ", 208 ," $485,361.00 ", 1 , 1 ," $20,500.00 ", 1 ," $6,833.00 ", 2 , 2 ," $38,736.00 ", 4 ," $25,824.00 ", -   , -   , $-   , -   , $-   
02556100, ENVIRONMENTAL TECHNICAL INSTITUTE                                      , IL ,601431334,Proprietary, 164 , 164 ," $536,006.00 ", 181 ," $286,244.00 ", 156 , 156 ," $785,593.00 ", 173 ," $426,221.00 ", -   , -   , $-   , -   , $-   , 18 , 18 ," $160,056.00 ", 19 ," $81,990.00 ", -   , -   , $-   , -   , $-   
02556500, YUKON BEAUTY COLLEGE                                                   , OK ,730994108,Proprietary, 10 , 10 ," $28,278.00 ", 11 ," $16,088.00 ", 8 , 8 ," $30,100.00 ", 8 ," $15,050.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02556600, NILES SCHOOL OF COSMETOLOGY                                            , IL ,607142827,Proprietary, 9 , 9 ," $21,646.00 ", 13 ," $14,928.00 ", 3 , 4 ," $9,912.00 ", 6 ," $7,785.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02556800, PAUL MITCHELL THE SCHOOL                                               , UT ,841177204,Proprietary, 169 , 169 ," $559,797.00 ", 214 ," $362,414.00 ", 164 , 164 ," $683,208.00 ", 219 ," $444,298.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $18,478.00 ", 3 ," $9,239.00 ", -   , -   , $-   , -   , $-   
02557800, ART INSTITUTE OF YORK (THE) - PENNSYLVANIA                             , PA ,174029012,Proprietary, 294 , 307 ," $1,079,773.00 ", 463 ," $575,981.00 ", 293 , 301 ," $1,150,753.00 ", 455 ," $613,967.00 ", -   , -   , $-   , -   , $-   , 104 , 110 ," $1,569,349.00 ", 166 ," $797,131.00 ", -   , -   , $-   , -   , $-   
02558700, PRISM CAREER INSTITUTE                                                 , PA ,191522923,Proprietary, 280 , 280 ," $909,795.00 ", 358 ," $594,041.00 ", 272 , 277 ," $1,406,326.00 ", 363 ," $915,145.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $36,427.00 ", 5 ," $18,938.00 ", -   , -   , $-   , -   , $-   
02559000, UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY                            , AZ ,852831056,Proprietary, 302 , 311 ," $1,292,925.00 ", 347 ," $616,541.00 ", 308 , 319 ," $1,457,266.00 ", 348 ," $681,961.00 ", 11 , 11 ," $201,800.00 ", 11 ," $100,906.00 ", 58 , 61 ," $1,198,162.00 ", 63 ," $601,462.00 ", -   , -   , $-   , -   , $-   
02559300, UNITED EDUCATION INSTITUTE                                             , CA ,902552933,Proprietary, 911 , 912 ," $3,153,682.00 ", 921 ," $1,570,747.00 ", 888 , 890 ," $4,904,205.00 ", 899 ," $2,459,268.00 ", -   , -   , $-   , -   , $-   , 67 , 69 ," $596,848.00 ", 70 ," $291,840.00 ", -   , -   , $-   , -   , $-   
02559400, INTERCOAST COLLEGES                                                    , CA ,928681656,Proprietary, 574 , 576 ," $1,673,320.00 ", 756 ," $1,028,256.00 ", 546 , 549 ," $2,505,858.00 ", 715 ," $1,508,961.00 ", -   , -   , $-   , -   , $-   , 21 , 22 ," $226,708.00 ", 27 ," $135,633.00 ", -   , -   , $-   , -   , $-   
02559500, RAZZLE DAZZLE COLLEGE OF HAIR DESIGN                                   , ID ,836865104,Proprietary, 54 , 54 ," $188,630.00 ", 71 ," $123,479.00 ", 54 , 54 ," $251,776.00 ", 71 ," $165,447.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02560000, CASAL AVEDA INSTITUTE                                                  , OH ,445152240,Proprietary, 72 , 72 ," $250,898.00 ", 106 ," $179,762.00 ", 67 , 76 ," $232,283.00 ", 110 ," $161,612.00 ", -   , -   , $-   , -   , $-   , 6 , 6 ," $51,434.00 ", 8 ," $33,363.00 ", -   , -   , $-   , -   , $-   
02560200, PHILLIPS THEOLOGICAL SEMINARY -                                        , OK ,741165612,Private-Nonprofit, -   , -   , $-   , -   , $-   , 1 , 1 ," $4,000.00 ", 1 ," $2,000.00 ", 36 , 36 ," $574,439.00 ", 37 ," $290,464.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02560600, PINNACLE INSTITUTE OF COSMETOLOGY                                      , NC ,281158020,Proprietary, 42 , 42 ," $137,680.00 ", 56 ," $90,680.00 ", 49 , 49 ," $202,202.00 ", 68 ," $137,397.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $16,040.00 ", 2 ," $8,020.00 ", -   , -   , $-   , -   , $-   
02560700, PICKAWAY ROSS COUNTY JOINT VOCATIONAL SCHOOL DISTRICT                  , OH ,456019010,Public, 97 , 97 ," $326,534.00 ", 103 ," $175,221.00 ", 92 , 92 ," $367,544.00 ", 97 ," $194,216.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02560800, SOUTHEAST SCHOOL OF COSMETOLOGY                                        , KY ,409620000,Proprietary, 12 , 12 ," $45,000.00 ", 17 ," $32,250.00 ", 11 , 12 ," $50,500.00 ", 16 ," $36,000.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02561600, SOUTHAMPTON SOLENT UNIVERSITY                                          ,,SO14 0YN      ,Foreign-Public, 3 , 3 ," $11,500.00 ", 3 ," $3,834.00 ", 3 , 3 ," $6,000.00 ", 3 ," $2,001.00 ", 4 , 4 ," $74,500.00 ", 4 ," $28,249.00 ", 3 , 3 ," $101,886.00 ", 3 ," $33,962.00 ", 2 , 2 ," $44,274.00 ", 2 ," $21,653.00 "
02561900, BRILLARE HAIRDRESSING ACADEMY                                          , AZ ,852543301,Proprietary, 121 , 121 ," $406,665.00 ", 162 ," $264,366.00 ", 120 , 120 ," $463,678.00 ", 168 ," $307,032.00 ", -   , -   , $-   , -   , $-   , 8 , 8 ," $34,684.00 ", 11 ," $23,705.00 ", -   , -   , $-   , -   , $-   
02562300, APOLLO CAREER CENTER                                                   , OH ,458061497,Public, 114 , 114 ," $311,653.00 ", 153 ," $230,729.00 ", 101 , 102 ," $393,265.00 ", 133 ," $273,099.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $15,611.00 ", 3 ," $7,806.00 ", -   , -   , $-   , -   , $-   
02563000, RAPHAEL'S SCHOOL OF BEAUTY CULTURE                                     , OH ,446012847,Proprietary, 30 , 30 ," $101,573.00 ", 35 ," $59,150.00 ", 30 , 30 ," $100,451.00 ", 34 ," $57,265.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $10,000.00 ", 1 ," $5,000.00 ", -   , -   , $-   , -   , $-   
02564700, ELAINE STEVEN BEAUTY COLLEGE                                           , MO ,631362343,Proprietary, 76 , 76 ," $238,189.00 ", 91 ," $142,083.00 ", 68 , 68 ," $254,235.00 ", 90 ," $157,946.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02568100, TEXAS BARBER COLLEGE                                                   , TX ,770633949,Proprietary, 229 , 229 ," $737,115.00 ", 248 ," $384,854.00 ", 216 , 216 ," $1,087,993.00 ", 237 ," $569,304.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02568500, GRABBER SCHOOL OF HAIR DESIGN                                          , MO ,631263933,Proprietary, 78 , 78 ," $243,798.00 ", 116 ," $189,867.00 ", 79 , 81 ," $355,905.00 ", 121 ," $274,905.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $10,700.00 ", 4 ," $10,700.00 ", -   , -   , $-   , -   , $-   
02568600, MAHONING COUNTY CAREER AND TECHNICAL CENTER                            , OH ,444069710,Public, 40 , 40 ," $117,600.00 ", 40 ," $65,150.00 ", 37 , 37 ," $120,980.00 ", 37 ," $67,930.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02568800, SUSSEX COUNTY COMMUNITY COLLEGE                                        , NJ ,078601149,Public, 359 , 359 ," $1,114,908.00 ", 361 ," $572,667.00 ", 406 , 406 ," $1,460,579.00 ", 412 ," $739,067.00 ", -   , -   , $-   , -   , $-   , 5 , 6 ," $32,900.00 ", 6 ," $18,200.00 ", -   , -   , $-   , -   , $-   
02569300, LE CORDON BLEU COLLEGE OF CULINARY ARTS                                , TX ,787583647,Proprietary," 1,516 "," 1,531 "," $4,313,766.00 "," 2,119 "," $2,799,747.00 "," 1,517 "," 1,544 "," $6,360,354.00 "," 2,144 "," $4,040,704.00 ", -   , -   , $-   , -   , $-   , 125 , 126 ," $1,039,772.00 ", 167 ," $651,282.00 ", -   , -   , $-   , -   , $-   
02569600, SEARCY BEAUTY COLLEGE                                                  , AR ,721430000,Proprietary, 17 , 17 ," $43,982.00 ", 21 ," $26,612.00 ", 19 , 19 ," $65,447.00 ", 25 ," $40,722.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
02570300, LOS ANGELES ORT TECHNICAL INSTITUTE                                    , CA ,900484904,Private-Nonprofit, 79 , 79 ," $250,530.00 ", 109 ," $170,222.00 ", 56 , 56 ," $234,933.00 ", 83 ," $154,187.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $6,069.00 ", 2 ," $6,069.00 ", -   , -   , $-   , -   , $-   
